"newDate","week","weekly_RNA","weekly_positive_cases","weekly_hospital_admissions","weekly_deceased","population.x","reported_norm","hospital_norm","deceased_norm","weekly_icu_cases","population.y","icu_norm"
2020-09-07,"37",1.210059845e+15,7317,72,11,17280000,42.34375,0.416666666666667,0.0636574074074074,31,17280000,0.179398148148148
2020-09-14,"38",2.20217148e+15,11623,126,25,17280000,67.2627314814815,0.729166666666667,0.144675925925926,53,17280000,0.306712962962963
2020-09-21,"39",4.341322046e+15,17737,211,95,17280000,102.644675925926,1.22106481481481,0.549768518518518,95,17280000,0.549768518518518
2020-09-28,"40",6.715229832e+15,24141,251,78,17280000,139.704861111111,1.4525462962963,0.451388888888889,120,17280000,0.694444444444445
2020-10-05,"41",1.4953634126e+16,38551,418,129,17280000,223.096064814815,2.41898148148148,0.746527777777778,187,17280000,1.08217592592593
2020-10-12,"42",1.2446452868e+16,53309,544,167,17280000,308.501157407407,3.14814814814815,0.966435185185185,276,17280000,1.59722222222222
2020-10-19,"43",1.8353294161e+16,62815,693,294,17280000,363.512731481482,4.01041666666667,1.70138888888889,339,17280000,1.96180555555556
2020-10-26,"44",2.348617476e+16,68317,681,385,17280000,395.353009259259,3.94097222222222,2.22800925925926,339,17280000,1.96180555555556
2020-11-02,"45",1.228434793e+16,49981,695,561,17280000,289.241898148148,4.02199074074074,3.24652777777778,286,17280000,1.65509259259259
2020-11-09,"46",2.022450034e+16,37656,571,475,17280000,217.916666666667,3.30439814814815,2.74884259259259,242,17280000,1.40046296296296
2020-11-16,"47",7.908555557e+15,36638,570,403,17280000,212.025462962963,3.29861111111111,2.33217592592593,210,17280000,1.21527777777778
2020-11-23,"48",7.797129373e+15,34238,485,455,17280000,198.136574074074,2.80671296296296,2.63310185185185,187,17280000,1.08217592592593
2020-11-30,"49",1.1669416701e+16,38259,413,334,17280000,221.40625,2.3900462962963,1.93287037037037,200,17280000,1.15740740740741
2020-12-07,"50",1.1136188635e+16,56233,509,361,17280000,325.422453703704,2.94560185185185,2.08912037037037,227,17280000,1.31365740740741
2020-12-14,"51",1.7317045413e+16,76151,582,441,17280000,440.688657407407,3.36805555555556,2.55208333333333,288,17280000,1.66666666666667
2020-12-21,"52",2.710921642e+16,73094,574,505,17280000,422.997685185185,3.32175925925926,2.9224537037037,293,17280000,1.69560185185185
2020-12-28,"53",8.39219797e+15,58106,673,616,17280000,336.261574074074,3.89467592592593,3.56481481481481,335,17280000,1.93865740740741
2021-01-04,"01",1.4538369618e+16,51748,597,751,17280000,299.467592592593,3.45486111111111,4.34606481481481,304,17280000,1.75925925925926
2021-01-11,"02",1.9984758572e+16,39805,499,639,17280000,230.353009259259,2.88773148148148,3.69791666666667,256,17280000,1.48148148148148
2021-01-18,"03",1.802299923e+16,36472,556,545,17280000,211.064814814815,3.21759259259259,3.15393518518519,246,17280000,1.42361111111111
2021-01-25,"04",1.7545937572e+16,29665,500,460,17280000,171.672453703704,2.89351851851852,2.66203703703704,253,17280000,1.46412037037037
2021-02-01,"05",1.3723584287e+16,27285,461,408,17280000,157.899305555556,2.66782407407407,2.36111111111111,174,17280000,1.00694444444444
2021-02-08,"06",1.4145523365e+16,23497,439,414,17280000,135.978009259259,2.54050925925926,2.39583333333333,193,17280000,1.11689814814815
2021-02-15,"07",2.2051914606e+16,27292,452,406,17280000,157.939814814815,2.61574074074074,2.34953703703704,241,17280000,1.39467592592593
2021-02-22,"08",1.265122571e+16,31955,427,345,17280000,184.924768518519,2.47106481481481,1.99652777777778,230,17280000,1.33101851851852
2021-03-01,"09",1.0909493013e+16,31276,430,268,17280000,180.99537037037,2.48842592592593,1.55092592592593,278,17280000,1.6087962962963
2021-03-08,"10",1.220575375e+16,36996,493,236,17280000,214.097222222222,2.85300925925926,1.36574074074074,274,17280000,1.58564814814815
2021-03-15,"11",1.4216406251e+16,44342,456,207,17280000,256.608796296296,2.63888888888889,1.19791666666667,319,17280000,1.84606481481481
2021-03-22,"12",1.5003306902e+16,50908,511,188,17280000,294.606481481482,2.95717592592593,1.08796296296296,315,17280000,1.82291666666667
2021-03-29,"13",1.1920438258e+16,49681,502,158,17280000,287.505787037037,2.90509259259259,0.914351851851852,378,17280000,2.1875
2021-04-05,"14",1.5978289348e+16,48427,619,149,17280000,280.248842592593,3.58217592592593,0.862268518518519,388,17280000,2.24537037037037
2021-04-12,"15",1.2924111256e+16,53124,513,147,17280000,307.430555555556,2.96875,0.850694444444444,374,17280000,2.16435185185185
2021-04-19,"16",1.273672251e+16,57232,547,134,17280000,331.203703703704,3.16550925925926,0.775462962962963,379,17280000,2.19328703703704
2021-04-26,"17",7.70552122e+15,46416,484,123,17280000,268.611111111111,2.80092592592593,0.711805555555556,387,17280000,2.23958333333333
2021-05-03,"18",9.180196134e+15,52398,534,152,17280000,303.229166666667,3.09027777777778,0.87962962962963,310,17280000,1.79398148148148
2021-05-10,"19",6.279655312e+15,38149,447,127,17280000,220.769675925926,2.58680555555556,0.734953703703704,237,17280000,1.37152777777778
2021-05-17,"20",5.673357113e+15,28079,355,95,17280000,162.494212962963,2.05439814814815,0.549768518518518,192,17280000,1.11111111111111
2021-05-24,"21",4.381789206e+15,21120,257,78,17280000,122.222222222222,1.48726851851852,0.451388888888889,118,17280000,0.68287037037037
2021-05-31,"22",3.801893259e+15,15916,199,55,17280000,92.1064814814815,1.15162037037037,0.318287037037037,53,17280000,0.306712962962963
2021-06-07,"23",1.831926981e+15,9917,126,34,17280000,57.3900462962963,0.729166666666667,0.196759259259259,43,17280000,0.248842592592593
2021-06-14,"24",1.330754907e+15,6334,103,17,17280000,36.6550925925926,0.596064814814815,0.0983796296296296,33,17280000,0.190972222222222
